# wavelength  f(wavelength)
200 0
330.042 0.00371
331.042 0.0035
332.043 0.0032
333.042 0.00303
334.043 0.00354
335.043 0.00303
336.042 0.0031
337.043 0.00265
338.043 0.00282
339.043 0.00309
340.044 0.00356
341.043 0.00314
342.043 0.0032
343.044 0.00342
344.044 0.00388
345.044 0.00318
346.044 0.00333
347.044 0.00399
348.045 0.00348
349.044 0.00395
350.044 0.00433
351.045 0.00495
352.045 0.00489
353.045 0.00472
354.045 0.00538
355.046 0.00625
356.046 0.00687
357.045 0.00768
358.045 0.00792
359.046 0.00871
360.045 0.0096
361.046 0.01005
362.046 0.01103
363.047 0.01027
364.046 0.01157
365.046 0.01138
366.046 0.0112
367.046 0.01169
368.046 0.01138
369.047 0.01219
370.048 0.013
371.048 0.01485
372.047 0.01545
373.048 0.01645
374.047 0.01805
375.047 0.02064
376.048 0.02093
377.048 0.0252
378.048 0.03026
379.048 0.03588
380.049 0.04326
381.048 0.05273
382.049 0.0633
383.048 0.07599
384.048 0.09906
385.049 0.1228
386.049 0.15306
387.049 0.18661
388.049 0.23708
389.05  0.29299
390.05  0.35704
391.05  0.43342
392.05  0.50423
393.051 0.58671
394.05  0.6686
395.05  0.73377
396.051 0.80093
397.05  0.86069
398.051 0.88638
399.051 0.90939
400.05  0.9223
401.05  0.924
402.052 0.90185
403.051 0.88102
404.051 0.85625
405.051 0.82637
406.051 0.79918
407.053 0.77771
408.052 0.77312
409.052 0.75767
410.053 0.76753
411.052 0.77361
412.052 0.7938
413.052 0.8205
414.052 0.83738
415.053 0.86698
416.053 0.89616
417.053 0.9245
418.053 0.9525
419.053 0.97256
420.054 0.98124
421.054 0.9988
422.054 1
423.054 0.99473
424.053 0.97798
425.053 0.96387
426.054 0.93745
427.055 0.90815
428.054 0.86956
429.055 0.84244
430.055 0.80178
431.055 0.75861
432.056 0.72967
433.055 0.69134
434.055 0.66567
435.056 0.63374
436.056 0.61516
437.055 0.59879
438.056 0.58332
439.056 0.5672
440.056 0.55361
441.057 0.54315
442.057 0.53252
443.057 0.53323
444.056 0.53139
445.057 0.51985
446.058 0.5128
447.056 0.506
448.058 0.49904
449.057 0.48792
450.058 0.47731
451.057 0.46489
452.058 0.45743
453.057 0.43884
454.058 0.42279
455.058 0.40898
456.058 0.38734
457.059 0.37119
458.058 0.35813
459.059 0.33843
460.058 0.31589
461.059 0.3042
462.059 0.28621
463.06  0.26787
464.06  0.25624
465.059 0.24275
466.059 0.23097
467.059 0.21618
468.059 0.20916
469.059 0.20246
470.06  0.19326
471.06  0.18409
472.061 0.17845
473.06  0.17416
474.06  0.16849
475.061 0.1633
476.061 0.15905
477.061 0.15502
478.061 0.15048
479.06  0.14386
480.062 0.13842
481.062 0.13539
482.061 0.12882
483.062 0.12807
484.061 0.12039
485.061 0.11812
486.061 0.11127
487.061 0.10585
488.062 0.10171
489.063 0.0983
490.062 0.09341
491.062 0.09042
492.063 0.08699
493.063 0.08223
494.063 0.07875
495.063 0.07226
496.063 0.06882
497.064 0.06437
498.064 0.0631
499.064 0.05991
500.065 0.05749
501.065 0.05308
502.065 0.05205
503.065 0.04814
504.065 0.0461
505.065 0.04505
506.065 0.04272
507.064 0.04057
508.066 0.03929
509.065 0.03893
510.066 0.03477
511.064 0.0362
512.064 0.03368
513.065 0.03075
514.066 0.03148
515.066 0.02958
516.067 0.02913
517.065 0.02808
518.065 0.02651
519.065 0.02531
520.067 0.02437
521.065 0.02407
522.066 0.02207
523.068 0.02236
524.067 0.02045
525.068 0.01936
526.068 0.01837
527.067 0.01899
528.066 0.01724
529.067 0.0179
530.069 0.01637
531.067 0.01573
532.068 0.01543
533.067 0.01492
534.068 0.01344
535.069 0.01355
536.068 0.01236
537.069 0.01236
538.068 0.01131
539.069 0.01116
540.07  0.0114
541.069 0.01022
542.069 0.00933
543.069 0.00963
544.07  0.0093
545.069 0.00945
546.07  0.00845
547.07  0.00899
548.069 0.00933
549.071 0.00862
550.07  0.00741
551.069 0.00792
552.07  0.0076
553.07  0.00734
554.071 0.00702
555.071 0.00711
556.071 0.00668
557.071 0.00621
558.071 0.00692
559.072 0.0058
560.072 0.00606
561.071 0.00627
562.073 0.00563
563.071 0.0054
564.072 0.00559
565.072 0.0051
566.073 0.0051
567.072 0.00465
568.072 0.00548
569.074 0.00506
570.073 0.00469
571.073 0.00435
572.072 0.00531
573.074 0.00454
574.074 0.00463
575.072 0.00517
576.074 0.00491
577.074 0.00435
578.072 0.00455
579.074 0.00444
580.074 0.00463
581.074 0.0039
582.075 0.00418
583.074 0.00395
584.074 0.00442
585.074 0.00374
586.075 0.00376
587.074 0.00393
588.076 0.00386
589.076 0.00333
590.074 0.0039
591.076 0.00348
592.075 0.00403
593.074 0.00378
594.075 0.0039
595.075 0.00333
596.076 0.00386
597.075 0.00403
598.077 0.00395
599.077 0.00348
600.077 0.00361
800 0
